pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False],
       fill_value='?',
            dtype=object), 'param_hidden_layer_sizes': masked_array(data=[(), (), (), (), (), (), (8,), (8,), (8,), (8,), (8,),
                   (8,), (16,), (16,), (16,), (16,), (16,), (16,), (32,),
                   (32,), (32,), (32,), (32,), (32,), (64,), (64,), (64,),
                   (64,), (64,), (64,), (8, 8), (8, 8), (8, 8), (8, 8),
                   (8, 8), (8, 8), (16, 8), (16, 8), (16, 8), (16, 8),
                   (16, 8), (16, 8), (32, 8), (32, 8), (32, 8), (32, 8),
                   (32, 8), (32, 8), (64, 8), (64, 8), (64, 8), (64, 8),
                   (64, 8), (64, 8), (16, 16), (16, 16), (16, 16),
                   (16, 16), (16, 16), (16, 16), (32, 16), (32, 16),
                   (32, 16), (32, 16), (32, 16), (32, 16), (64, 16),
                   (64, 16), (64, 16), (64, 16), (64, 16), (64, 16),
                   (32, 32), (32, 32), (32, 32), (32, 32), (32, 32),
                   (32, 32), (64, 32), (64, 32), (64, 32), (64, 32),
                   (64, 32), (64, 32), (64, 64), (64, 64), (64, 64),
                   (64, 64), (64, 64), (64, 64), (), (), (), (), (), (),
                   (8,), (8,), (8,), (8,), (8,), (8,), (16,), (16,),
                   (16,), (16,), (16,), (16,), (32,), (32,), (32,), (32,),
                   (32,), (32,), (64,), (64,), (64,), (64,), (64,), (64,),
                   (8, 8), (8, 8), (8, 8), (8, 8), (8, 8), (8, 8),
                   (16, 8), (16, 8), (16, 8), (16, 8), (16, 8), (16, 8),
                   (32, 8), (32, 8), (32, 8), (32, 8), (32, 8), (32, 8),
                   (64, 8), (64, 8), (64, 8), (64, 8), (64, 8), (64, 8),
                   (16, 16), (16, 16), (16, 16), (16, 16), (16, 16),
                   (16, 16), (32, 16), (32, 16), (32, 16), (32, 16),
                   (32, 16), (32, 16), (64, 16), (64, 16), (64, 16),
                   (64, 16), (64, 16), (64, 16), (32, 32), (32, 32),
                   (32, 32), (32, 32), (32, 32), (32, 32), (64, 32),
                   (64, 32), (64, 32), (64, 32), (64, 32), (64, 32),
                   (64, 64), (64, 64), (64, 64), (64, 64), (64, 64),
                   (64, 64), (), (), (), (), (), (), (8,), (8,), (8,),
                   (8,), (8,), (8,), (16,), (16,), (16,), (16,), (16,),
                   (16,), (32,), (32,), (32,), (32,), (32,), (32,), (64,),
                   (64,), (64,), (64,), (64,), (64,), (8, 8), (8, 8),
                   (8, 8), (8, 8), (8, 8), (8, 8), (16, 8), (16, 8),
                   (16, 8), (16, 8), (16, 8), (16, 8), (32, 8), (32, 8),
                   (32, 8), (32, 8), (32, 8), (32, 8), (64, 8), (64, 8),
                   (64, 8), (64, 8), (64, 8), (64, 8), (16, 16), (16, 16),
                   (16, 16), (16, 16), (16, 16), (16, 16), (32, 16),
                   (32, 16), (32, 16), (32, 16), (32, 16), (32, 16),
                   (64, 16), (64, 16), (64, 16), (64, 16), (64, 16),
                   (64, 16), (32, 32), (32, 32), (32, 32), (32, 32),
                   (32, 32), (32, 32), (64, 32), (64, 32), (64, 32),
                   (64, 32), (64, 32), (64, 32), (64, 64), (64, 64),
                   (64, 64), (64, 64), (64, 64), (64, 64), (), (), (), (),
                   (), (), (8,), (8,), (8,), (8,), (8,), (8,), (16,),
                   (16,), (16,), (16,), (16,), (16,), (32,), (32,), (32,),
                   (32,), (32,), (32,), (64,), (64,), (64,), (64,), (64,),
                   (64,), (8, 8), (8, 8), (8, 8), (8, 8), (8, 8), (8, 8),
                   (16, 8), (16, 8), (16, 8), (16, 8), (16, 8), (16, 8),
                   (32, 8), (32, 8), (32, 8), (32, 8), (32, 8), (32, 8),
                   (64, 8), (64, 8), (64, 8), (64, 8), (64, 8), (64, 8),
                   (16, 16), (16, 16), (16, 16), (16, 16), (16, 16),
                   (16, 16), (32, 16), (32, 16), (32, 16), (32, 16),
                   (32, 16), (32, 16), (64, 16), (64, 16), (64, 16),
                   (64, 16), (64, 16), (64, 16), (32, 32), (32, 32),
                   (32, 32), (32, 32), (32, 32), (32, 32), (64, 32),
                   (64, 32), (64, 32), (64, 32), (64, 32), (64, 32),
                   (64, 64), (64, 64), (64, 64), (64, 64), (64, 64),
                   (64, 64)],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False],
       fill_value='?',
            dtype=object), 'param_learning_rate_init': masked_array(data=[0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001,
                   0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0,
                   10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0, 0.0001, 0.001, 0.01, 0.1, 1.0, 10.0, 0.0001,
                   0.001, 0.01, 0.1, 1.0, 10.0, 0.0001, 0.001, 0.01, 0.1,
                   1.0, 10.0],
             mask=[False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False,
                   False, False, False, False, False, False, False, False],
       fill_value='?',
